SUID,@id,Betweenness,Closeness,Degree,Eigenvector,Information,LAC,name,Network,selected,shared name,stringdb::canonical name,stringdb::full name,Subgragh,
451,stringdb:9606.ENSP00000376268,0,0.057855626,1,1.90E-04,1.663313389,0,9606.ENSP00000376268,0,FALSE,9606.ENSP00000376268,Q92503,,1.18E+22,0.226412224
293,stringdb:9606.ENSP00000370648,1.989512031,0.056689637,2,2.68E-05,2.297236443,0,9606.ENSP00000370648,0,FALSE,9606.ENSP00000370648,Q9HBH5,,2.36E+20,0.222921388
146,stringdb:9606.ENSP00000304440,0,0.056586632,1,4.94E-05,1.663313389,0,9606.ENSP00000304440,0,FALSE,9606.ENSP00000304440,O00219,,8.04E+20,0.221271617
493,stringdb:9606.ENSP00000264668,0,0.056586632,1,4.94E-05,1.663313389,0,9606.ENSP00000264668,0,FALSE,9606.ENSP00000264668,Q9UBK8,,8.04E+20,0.221271617
454,stringdb:9606.ENSP00000255858,0,0.053807232,1,4.20E-07,1.663313389,0,9606.ENSP00000255858,0,FALSE,9606.ENSP00000255858,Q9UDX3,,5.81E+16,0.210395336
71,stringdb:9606.ENSP00000387888,0,0.00228833,0,7.08E-13,0.909983158,0,9606.ENSP00000387888,0,FALSE,9606.ENSP00000387888,Q9Y4X1,,164603.2969,0.008894831
88,stringdb:9606.ENSP00000263955,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000263955,0,FALSE,9606.ENSP00000263955,O94768,,1.000000477,0.008894831
151,stringdb:9606.ENSP00000334186,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000334186,0,FALSE,9606.ENSP00000334186,Q96DN2,,1.000000238,0.008894831
160,stringdb:9606.ENSP00000387462,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000387462,0,FALSE,9606.ENSP00000387462,Q96DT7,,0.999999821,0.008894831
178,stringdb:9606.ENSP00000282507,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000282507,0,FALSE,9606.ENSP00000282507,Q3SY77,,0.999999464,0.008894831
213,stringdb:9606.ENSP00000400895,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000400895,0,FALSE,9606.ENSP00000400895,Q3ZCN5,,0.999999166,0.008894831
297,stringdb:9606.ENSP00000251170,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000251170,0,FALSE,9606.ENSP00000251170,O43304,,1.000000477,0.008894831
299,stringdb:9606.ENSP00000274278,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000274278,0,FALSE,9606.ENSP00000274278,Q6NUS8,,0.999999881,0.008894831
314,stringdb:9606.ENSP00000382770,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000382770,0,FALSE,9606.ENSP00000382770,A8MYU2,,0.999999642,0.008894831
372,stringdb:9606.ENSP00000202816,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000202816,0,FALSE,9606.ENSP00000202816,Q9H501,,1,0.008894831
376,stringdb:9606.ENSP00000287139,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000287139,0,FALSE,9606.ENSP00000287139,Q96S42,,0.999999881,0.008894831
404,stringdb:9606.ENSP00000303525,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000303525,0,FALSE,9606.ENSP00000303525,Q8N4T8,,0.999999642,0.008894831
467,stringdb:9606.ENSP00000458075,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000458075,0,FALSE,9606.ENSP00000458075,H3BVE0,,0.999999404,0.008894831
479,stringdb:9606.ENSP00000242786,0,0.00228833,0,0,0.909983158,0,9606.ENSP00000242786,0,FALSE,9606.ENSP00000242786,P48960,,0.999999881,0.008894831
